0.01	0.03	0.04	0.04	0.04	0.03	0	0.03	0.02	0.03	0.23	0.01	0.03	0.05	0.03	0.08	0.07	0.22	0.04	0.04
0	0.04	0.04	0.02	0.05	0.01	0.03	0.04	0.04	0.01	0.03	0.02	0.03	0.02	0.02	0.01	0.04	0.2	0.04	0.02
0.01	0.01	0.02	0.04	0.01	0.03	0.05	0.01	0.05	0.03	0.01	0.05	0.04	0.02	0.05	0	0.62	0	0.02	0
0.02	0.01	0	0.03	0.01	0.04	0.04	0.02	0.03	0.01	0.03	0.05	0	0.04	0.05	0.1	0.62	0.1	0.05	0.04
0.01	0.05	0.04	0.14	0.07	0	0.03	0.02	0.04	0.01	0.04	0.05	0.03	0	0.02	0.67	0.52	0.52	0.6	0.04
0.04	0	0.05	0.12	0	0.05	0.04	0.04	0.01	0.04	0.04	0.03	0.25	0.03	0	0.5	0.68	0.18	0.52	0.02
0	0.02	0.04	0.1	0.22	0.03	0	0	0.01	0.01	0	0.02	0.01	0.05	0.04	0.62	0.6	0.04	0.67	0.02
0.02	0.03	0.22	0.01	0.03	0.01	0.04	0.04	0.03	0.01	0.01	0.03	0.02	0.05	0.03	0.62	0.14	0.64	0.6	0.04
0.01	0.05	0.3	0.43	0.42	0.04	0.05	0.02	0.03	0.05	0.03	0.03	0.05	0.02	0.03	0.53	0.55	0.6	0.17	0.23
0.04	0.04	0.34	0.59	0.01	0.05	0.01	0.04	0.04	0.05	0.01	0.04	0	0.01	0.03	0.52	0.19	0.84	0.17	0.04
0.03	0.01	0.38	0.22	0.09	0.09	0.01	0.04	0.01	0.04	0.03	0.03	0.03	0.03	0.04	0.56	0.53	0.97	0.6	0.69
0.04	0.02	0.02	0.01	0.06	0.07	0.03	0.02	0.02	0.04	0.01	0.07	0	0.01	0.01	0.24	0.95	0.85	0.08	0.05
0.03	0.04	0.01	0.04	0.09	0.06	0	0.01	0.04	0.02	0.04	0.05	0.04	0.03	0.01	0.01	0.05	0.71	0.01	0.06
0.03	0	0.04	0.1	0.05	0.11	0.03	0.04	0.02	0.04	0.02	0	0	0.01	0.04	0	0.01	0.8	0.06	0.05
0.01	0.03	0	0.07	0.04	0.05	0.11	0.05	0.03	0.02	0.03	0.04	0.05	0.03	0.02	0	0.04	0.86	0.09	0.7
0.03	0.01	0.04	0.07	0.03	0.08	0.22	0.03	0.01	0.04	0.01	0	0.04	0.05	0.05	0.03	0.01	0.78	0.06	0.67
0.03	0.02	0.01	0.1	0.05	0.03	0.24	0.03	0.02	0.02	0.02	0.03	0.02	0.01	0.01	0.02	0.03	0.6	0.06	0.62
0.01	0.02	0.04	0.06	0.05	0.1	0.07	0.01	0	0.02	0.02	0.01	0.04	0.03	0	0.03	0.03	0.58	0.56	0.62
0.03	0.02	0	0.01	0.03	0.07	0.23	0.03	0.01	0.04	0.18	0.01	0.02	0.05	0.04	0.05	0.21	0.6	0.57	0.6
0.04	0.01	0.04	0.01	0	0.06	0.12	0.01	0.04	0.17	0.24	0.02	0	0.02	0.01	0.02	0.22	0.63	0.56	0.64
